Metro.Status.Code,Number.of.Schools,Agency.ID,Federal.Revenue,Related.Children.in.Poverty,Total.Enrollment
1,42,16-I008,11708000,4202,17792
2,3,72-I014,217000,105,600
3,5,25-I009,309000,243,1123
2,3,14-I070,742000,369,1355
3,5,10-I032,504000,261,1470
2,1,19-C008,188000,115,742
3,3,28-I001,339000,258,725
2,3,19-I003,249000,162,1546
2,1,68-C035,485000,54,197
3,2,54-I002,301000,70,260
2,3,63-I117,220000,125,405
3,2,31-I037,176000,52,287
3,10,61-I080,1738000,843,2970
3,2,62-I022,175000,32,151
2,3,63-I001,729000,275,1752
3,2,27-I054,161000,57,323
3,8,58-I023,1224000,642,2553
2,26,55-I052,6311000,2744,16996
3,2,35-I029,298000,53,272
1,3,55-I037,798000,242,1033
2,1,68-C068,575000,27,265
2,27,14-I002,4111000,2139,17913
3,3,77-I002,186000,101,475
3,3,52-I006,330000,77,491
2,3,19-I005,216000,105,810
3,13,51-I020,4207000,2166,6562
2,8,09-I069,744000,263,6571
3,2,67-I006,183000,106,286
2,5,14-I040,762000,452,2725
2,23,14-I029,2903000,1972,13055
3,1,01-C032,374000,64,142
3,1,11-C014,369000,20,188
3,3,53-I040,439000,253,1124
1,88,55-I089,24206000,15928,40150
3,5,56-I001,1759000,1123,2143
3,2,51-I008,532000,116,650
2,3,66-I004,370000,119,1630
3,2,54-I014,128000,20,275
2,3,40-I020,385000,210,729
3,2,39-I004,295000,32,342
2,4,57-I002,599000,352,1103
3,3,60-I056,388000,310,1095
3,4,10-I027,473000,205,1208
3,11,36-I071,1476000,1010,5770
3,2,51-I088,442000,162,510
2,4,40-I029,709000,596,2025
2,6,46-I001,974000,458,2448
1,27,55-I001,4499000,2267,19520
3,3,58-I014,733000,204,587
3,2,61-I017,265000,107,477
3,2,39-I002,186000,120,240
3,3,34-I014,253000,115,514
3,2,53-I051,149000,44,237
2,3,46-I016,812000,278,925
2,4,68-I001,970000,630,1947
2,11,72-I002,1323000,594,5494
2,10,19-I033,1537000,629,4200
3,5,67-I001,562000,418,1463
2,3,66-I006,220000,85,1263
2,9,63-I093,1946000,1452,3965
2,2,57-I011,77000,63,246
2,5,72-I007,847000,390,2176
2,1,46-C021,140000,82,191
2,4,72-I008,593000,154,1299
3,1,49-C016,178000,57,134
3,3,31-I020,622000,351,1314
3,4,01-I025,1291000,387,1620
3,2,62-I030,172000,152,323
3,3,25-I002,272000,191,530
3,2,67-I014,346000,105,342
3,4,50-I001,755000,375,1346
3,8,11-I035,2324000,952,3646
2,3,40-I052,968000,268,681
3,1,61-C056,89000,38,144
2,6,63-I092,1097000,349,2252
3,2,17-I101,173000,120,270
3,3,38-I003,223000,109,312
3,3,35-I020,570000,369,953
1,79,72-I001,22217000,13838,43508
3,1,56-C011,104000,116,265
2,15,72-I009,1725000,759,12972
3,3,48-I011,470000,204,1009
3,3,69-I015,181000,58,556
2,3,68-I002,1080000,319,890
2,5,73-I019,1452000,802,2379
3,2,35-I037,121000,79,216
2,3,47-I005,174000,76,673
3,4,06-I042,621000,184,952
3,2,01-I004,268000,87,400
3,3,41-I004,172000,155,712
1,6,55-I041,1671000,1010,3238
3,3,01-I011,700000,184,1055
3,3,32-I005,503000,173,433
3,3,67-I002,734000,441,762
3,1,25-C016,228000,45,418
3,4,39-I001,502000,307,1064
3,2,56-I007,449000,11,358
2,2,40-I049,382000,164,496
3,1,11-C021,480000,129,491
3,11,77-I001,914000,597,2698
3,3,58-I001,432000,75,767
2,11,09-I027,604000,569,5909
3,1,01-C028,385000,123,355
3,2,07-I002,322000,129,480
3,3,08-I167,619000,143,413
2,6,24001,635000,216,1099
2,3,36001,400000,209,1356
2,6,24029,783000,429,2379
2,28,34001,4951000,1959,17514
2,7,15005,916000,657,3405
3,4,30029,210000,101,633
3,10,1005,952000,507,2307
2,43,34048,5555000,2341,32598
3,20,9001,3732000,1834,12744
3,1,10021,107000,30,150
2,7,3086,1438000,387,9390
3,3,22552,373000,141,735
2,5,5013,302000,154,1412
3,4,6008,492000,257,1134
3,17,2509,2158000,859,7362
3,1,13701,33000,1,83
3,9,6009,2180000,990,3962
2,3,20040,737000,207,1231
